iter	Passed	Remaining
450	1091	1328
451	1092	1324
452	1097	1325
453	1099	1322
454	1100	1318
455	1102	1315
456	1103	1311
457	1105	1307
458	1106	1304
459	1110	1303
460	1113	1302
461	1115	1298
462	1116	1295
463	1118	1292
464	1120	1289
465	1124	1288
466	1126	1285
467	1128	1282
468	1130	1279
469	1131	1275
470	1132	1272
471	1134	1268
472	1136	1266
473	1139	1264
474	1141	1261
475	1142	1257
476	1144	1254
477	1145	1251
478	1147	1247
479	1148	1244
480	1150	1241
481	1152	1238
482	1154	1236
483	1157	1233
484	1159	1230
485	1161	1228
486	1163	1225
487	1166	1223
488	1169	1222
489	1175	1223
490	1177	1220
491	1182	1220
492	1184	1218
493	1187	1216
494	1190	1214
495	1193	1213
496	1197	1211
497	1199	1209
498	1202	1206
499	1203	1203
500	1205	1200
501	1207	1198
502	1210	1196
503	1214	1195
504	1216	1192
505	1218	1189
506	1220	1186
507	1222	1183
508	1226	1183
509	1228	1180
510	1230	1177
511	1232	1175
512	1235	1172
513	1239	1171
514	1241	1169
515	1244	1166
516	1245	1163
517	1247	1160
518	1251	1159
519	1254	1157
520	1256	1155
521	1258	1152
522	1260	1149
523	1264	1148
524	1269	1149
525	1272	1146
526	1274	1144
527	1276	1141
528	1280	1139
529	1283	1137
530	1286	1136
531	1288	1133
532	1291	1131
533	1293	1128
534	1296	1126
535	1298	1124
536	1301	1121
537	1305	1120
538	1307	1118
539	1310	1116
540	1312	1113
541	1315	1111
542	1317	1108
543	1319	1105
544	1321	1102
545	1325	1102
546	1327	1099
547	1329	1096
548	1332	1094
549	1334	1092
550	1337	1089
551	1340	1087
552	1342	1085
553	1346	1084
554	1349	1082
555	1354	1081
556	1356	1078
557	1358	1076
558	1361	1074
559	1363	1071
560	1366	1068
561	1371	1068
562	1372	1065
563	1375	1063
564	1377	1060
565	1379	1057
566	1384	1057
567	1386	1054
568	1388	1051
569	1390	1049
570	1392	1046
571	1395	1044
572	1397	1041
573	1399	1038
574	1402	1036
575	1409	1037
576	1411	1035
577	1413	1032
578	1415	1029
579	1419	1027
580	1422	1025
581	1425	1023
582	1427	1021
583	1429	1018
584	1431	1015
585	1435	1014
586	1438	1012
587	1441	1009
588	1443	1007
589	1445	1004
590	1448	1002
591	1450	999
592	1453	997
593	1455	994
594	1456	991
595	1458	988
596	1460	985
597	1463	983
598	1465	981
599	1468	978
600	1470	976
601	1472	973
602	1474	970
603	1477	968
604	1481	967
605	1483	964
606	1485	961
607	1488	959
608	1492	957
609	1493	955
610	1496	952
611	1498	950
612	1500	947
613	1501	944
614	1505	942
615	1507	939
616	1509	937
617	1511	934
618	1514	931
619	1516	929
620	1518	926
621	1521	924
622	1524	922
623	1525	919
624	1529	917
625	1532	915
626	1536	913
627	1540	912
628	1542	909
629	1545	907
630	1549	905
631	1555	905
632	1558	903
633	1564	903
634	1568	901
635	1570	899
636	1573	896
637	1575	894
638	1581	893
